TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
ARAW,ABRDN III ICAV,ABRDN ARAW UCITS ETF - GBX,IE000J7QYHD8,ETFS,29/07/2025,Ireland,GBX,MAIN MARKET,,EUET,UEA2
AREG,ABRDN III ICAV,ABRDN FUTURE REAL ESTATE UCITS ETF (GBX),IE000GGQK173,ETFS,11/04/2024,Ireland,GBX,MAIN MARKET,,EUET,UEA2
ASCH,ABRDN III ICAV,ABRDN ASCH UCITS ETF - GBX,IE000G9O8QD4,ETFS,29/07/2025,Ireland,GBX,MAIN MARKET,,EUET,UEA2
EBND,AB SICAV I,EURO CORPORATE BOND PORTFOLIO UCITS ETF,LU3322521785,ETFS,29/04/2026,Luxembourg,GBP,MAIN MARKET,,EUET,UEA2
EYEG,AB SICAV I,USD CORPORATE BOND PORTFOLIO UCITS ETF,LU3322522593,ETFS,29/04/2026,Luxembourg,USD,MAIN MARKET,,EUET,UEA2
EYES,AB SICAV I,USD CORPORATE BOND PORTFOLIO UCITS ETF,LU3322522593,ETFS,29/04/2026,Luxembourg,GBP,MAIN MARKET,,EUE2,UEA4
FWD,AB SICAV I,GLOBAL DISRUPTORS PORTFOLIO UCITS ETF,LU3322522163,ETFS,02/06/2026,Luxembourg,USD,MAIN MARKET,,EUET,UEA2
FWDS,AB SICAV I,GLOBAL DISRUPTORS PORTFOLIO UCITS ETF,LU3322522163,ETFS,02/06/2026,Luxembourg,GBP,MAIN MARKET,,EUE2,UEA4
GLIG,AB SICAV I,GLOBAL CORP BOND PORTFOLIO UCITS ETF,LU3322522080,ETFS,29/04/2026,Luxembourg,USD,MAIN MARKET,,EUET,UEA2
GLIS,AB SICAV I,GLOBAL CORP BOND PORTFOLIO UCITS ETF,LU3322522080,ETFS,29/04/2026,Luxembourg,GBP,MAIN MARKET,,EUE2,UEA4
GLRD,AB SICAV I,GLOBAL RESEARCH ADV EQ PFOLIO UCITS ETF,LU3322522247,ETFS,02/06/2026,Luxembourg,USD,MAIN MARKET,,EUET,UEA2
